,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,South Africa,ZA,,,,-30.56,22.94,2173,25,410,1738,2020-04-13 00:00:00+00:00
1,South Africa,ZA,,,,-30.56,22.94,2272,27,410,1835,2020-04-14 00:00:00+00:00
2,South Africa,ZA,,,,-30.56,22.94,2415,27,410,1978,2020-04-15 00:00:00+00:00
3,South Africa,ZA,,,,-30.56,22.94,2506,34,410,2062,2020-04-16 00:00:00+00:00
4,South Africa,ZA,,,,-30.56,22.94,2605,48,903,1654,2020-04-17 00:00:00+00:00
5,South Africa,ZA,,,,-30.56,22.94,2783,50,903,1830,2020-04-18 00:00:00+00:00
6,South Africa,ZA,,,,-30.56,22.94,3034,52,903,2079,2020-04-19 00:00:00+00:00
7,South Africa,ZA,,,,-30.56,22.94,3158,54,903,2201,2020-04-20 00:00:00+00:00
8,South Africa,ZA,,,,-30.56,22.94,3300,58,1055,2187,2020-04-21 00:00:00+00:00
9,South Africa,ZA,,,,-30.56,22.94,3465,58,1055,2352,2020-04-22 00:00:00+00:00
10,South Africa,ZA,,,,-30.56,22.94,3635,65,1055,2515,2020-04-23 00:00:00+00:00
11,South Africa,ZA,,,,-30.56,22.94,3953,75,1473,2405,2020-04-24 00:00:00+00:00
12,South Africa,ZA,,,,-30.56,22.94,4220,79,1473,2668,2020-04-25 00:00:00+00:00
13,South Africa,ZA,,,,-30.56,22.94,4361,86,1473,2802,2020-04-26 00:00:00+00:00
14,South Africa,ZA,,,,-30.56,22.94,4546,87,1473,2986,2020-04-27 00:00:00+00:00
15,South Africa,ZA,,,,-30.56,22.94,4793,90,1473,3230,2020-04-28 00:00:00+00:00
16,South Africa,ZA,,,,-30.56,22.94,6783,131,2549,4103,2020-05-04 00:00:00+00:00
17,South Africa,ZA,,,,-30.56,22.94,7220,138,2746,4336,2020-05-05 00:00:00+00:00
18,South Africa,ZA,,,,-30.56,22.94,7572,148,2746,4678,2020-05-06 00:00:00+00:00
