,Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
0,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-01-22 00:00:00+00:00
1,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-01-23 00:00:00+00:00
2,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-01-24 00:00:00+00:00
3,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-01-25 00:00:00+00:00
4,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-01-26 00:00:00+00:00
5,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-01-27 00:00:00+00:00
6,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-01-28 00:00:00+00:00
7,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-01-29 00:00:00+00:00
8,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-01-30 00:00:00+00:00
9,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-01-31 00:00:00+00:00
10,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-01 00:00:00+00:00
11,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-02 00:00:00+00:00
12,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-03 00:00:00+00:00
13,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-04 00:00:00+00:00
14,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-05 00:00:00+00:00
15,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-06 00:00:00+00:00
16,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-07 00:00:00+00:00
17,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-08 00:00:00+00:00
18,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-09 00:00:00+00:00
19,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-10 00:00:00+00:00
20,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-11 00:00:00+00:00
21,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-12 00:00:00+00:00
22,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-13 00:00:00+00:00
23,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-14 00:00:00+00:00
24,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-15 00:00:00+00:00
25,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-16 00:00:00+00:00
26,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-17 00:00:00+00:00
27,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-18 00:00:00+00:00
28,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-19 00:00:00+00:00
29,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-20 00:00:00+00:00
30,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-21 00:00:00+00:00
31,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-22 00:00:00+00:00
32,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-23 00:00:00+00:00
33,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-24 00:00:00+00:00
34,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-25 00:00:00+00:00
35,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-26 00:00:00+00:00
36,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-27 00:00:00+00:00
37,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-28 00:00:00+00:00
38,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-02-29 00:00:00+00:00
39,South Africa,ZA,,,,-30.56,22.94,0,confirmed,2020-03-01 00:00:00+00:00
